               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.047224,            0.023543,            0.010362,           0.0043547,             0.23529,           0.0037412,           0.0015872,           0.0046771,            0.015751,          0.00091272,             0.03118,           0.0021797,           0.0021797
                  36,              0.0535,            0.025479,            0.010032,           0.0043547,             0.23529,           0.0037412,           0.0015872,           0.0046771,            0.015751,          0.00091272,            0.029097,           0.0020966,           0.0020966
                  37,             0.04907,            0.018683,           0.0093689,             0.02087,             0.29412,            0.012737,            0.006522,           0.0048336,            0.015512,          0.00089135,            0.027006,           0.0020055,           0.0020055
                  38,            0.042076,            0.016231,           0.0079094,           0.0073994,             0.29412,           0.0063558,           0.0029943,           0.0047734,            0.015331,          0.00091569,            0.024907,           0.0019065,           0.0019065
                  39,            0.035701,            0.015233,           0.0063808,           0.0073994,             0.29412,           0.0063558,           0.0029943,           0.0047734,            0.015331,          0.00091569,              0.0228,           0.0017996,           0.0017996
                  40,            0.040901,            0.016697,           0.0099103,            0.019442,             0.29412,            0.012999,           0.0080005,           0.0047659,            0.014872,          0.00095054,            0.020685,           0.0016848,           0.0016848
                  41,            0.032707,            0.029413,           0.0076875,           0.0069052,             0.29412,           0.0059743,           0.0030271,            0.004513,            0.014276,          0.00096072,            0.018562,           0.0015621,           0.0015621
                  42,            0.030836,            0.016379,           0.0061423,           0.0069052,             0.29412,           0.0059743,           0.0030271,            0.004513,            0.014276,          0.00096072,            0.016431,           0.0014314,           0.0014314
                  43,            0.046552,            0.021499,           0.0079839,            0.015297,             0.29412,            0.010527,           0.0047419,           0.0042836,            0.013734,          0.00097515,            0.014293,           0.0012928,           0.0012928
                  44,            0.029486,            0.022812,           0.0072935,            0.015297,             0.29412,            0.010527,           0.0047419,           0.0042836,            0.013734,          0.00097515,            0.012146,           0.0011463,           0.0011463
                  45,            0.036649,            0.017137,            0.007145,            0.013565,             0.29412,             0.01146,           0.0045984,           0.0038717,            0.013144,           0.0010019,           0.0099919,           0.0009919,           0.0009919
                  46,            0.044288,             0.01975,           0.0097967,            0.013565,             0.29412,             0.01146,           0.0045984,           0.0038717,            0.013144,           0.0010019,           0.0078296,          0.00082956,          0.00082956
                  47,            0.028121,            0.020288,           0.0066519,             0.01457,             0.29412,            0.013478,           0.0070911,           0.0036995,            0.012824,          0.00096266,           0.0056593,           0.0006593,           0.0006593
                  48,            0.051941,            0.020851,            0.014038,             0.01457,             0.29412,            0.013478,           0.0070911,           0.0036995,            0.012824,          0.00096266,           0.0034811,          0.00048112,          0.00048112
                  49,            0.041119,            0.023883,            0.012568,            0.014399,             0.52941,            0.013247,           0.0063454,           0.0035298,            0.012608,           0.0009418,            0.001295,          0.00029502,          0.00029502
