               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023267,            0.011997,           0.0042277,             0.86146,             0.77547,             0.78604,             0.58688,             0.01858,            0.010496,            0.031221,            0.002872,            0.002872,            0.002872
                  38,            0.021818,            0.011715,           0.0045393,              0.8701,             0.77363,             0.79004,             0.57252,             0.01905,            0.010039,             0.03192,            0.002674,            0.002674,            0.002674
                  39,            0.021217,            0.010868,           0.0045766,             0.86863,             0.77617,             0.79382,             0.59972,            0.018709,           0.0096655,            0.032288,            0.002476,            0.002476,            0.002476
                  40,            0.021456,            0.012672,            0.004872,             0.87251,             0.77409,             0.79374,             0.58037,            0.017144,            0.009862,            0.032165,            0.002278,            0.002278,            0.002278
                  41,            0.019557,            0.011739,           0.0042581,             0.87132,             0.77491,             0.79483,             0.59721,            0.018697,           0.0097767,            0.032326,             0.00208,             0.00208,             0.00208
                  42,            0.018393,            0.010251,            0.003387,             0.86896,             0.76364,             0.79468,             0.59064,            0.016557,           0.0098314,             0.03194,            0.001882,            0.001882,            0.001882
                  43,            0.019287,            0.011861,           0.0039358,             0.86867,             0.76364,             0.79856,             0.60068,            0.018586,           0.0096659,            0.031914,            0.001684,            0.001684,            0.001684
                  44,            0.018233,            0.010059,           0.0038187,             0.86301,             0.76969,             0.80081,             0.61586,            0.016151,            0.010073,            0.032011,            0.001486,            0.001486,            0.001486
                  45,            0.017367,            0.010686,           0.0036495,             0.86639,             0.77129,             0.80569,             0.61284,            0.015904,            0.010085,            0.032244,            0.001288,            0.001288,            0.001288
                  46,            0.017289,              0.0113,           0.0038949,             0.86718,             0.77145,             0.80866,             0.61798,            0.015223,            0.010061,            0.032478,             0.00109,             0.00109,             0.00109
                  47,            0.017483,            0.011574,           0.0035436,             0.86518,             0.76674,              0.8119,             0.60966,             0.01684,           0.0099189,             0.03262,            0.000892,            0.000892,            0.000892
                  48,            0.016455,            0.010163,           0.0029928,             0.86109,             0.76617,             0.81562,             0.62345,            0.015598,            0.010248,            0.032478,            0.000694,            0.000694,            0.000694
                  49,            0.016536,            0.010067,           0.0034932,             0.86246,             0.76685,             0.81332,             0.63994,            0.015149,            0.010389,            0.032579,            0.000496,            0.000496,            0.000496
